state/州,district/地区,market,commodity_name/名字,min_price,max_price,date,类别+10
4,8,20,25,48,52,527,10
1,4,24,29,84.3,89.5,525,10
1,2,10,13,54.5,55.5,527,10
1,2,29,13,54.3,55.1,528,10
2,5,5,3,110,110,610,12
1,1,1,30,17.5,27.8,525,10
1,2,29,19,142.5,159.3,528,13
3,6,6,11,8,12,528,11
1,1,19,22,32.75,51.25,525,9
1,1,28,22,40,50,525,10
1,1,28,22,42,50.75,528,10
1,3,26,13,45,45.75,525,9
1,4,11,13,55.75,56.1,525,9
2,5,5,15,58.25,92.25,527,9
1,4,30,13,55.35,55.95,525,10
3,6,14,15,65.5,68,527,9
1,1,19,17,58.5,62.55,530,10
1,1,28,30,26.25,30.75,528,9
3,6,6,12,25,30,528,10
1,1,22,10,18,24,528,11
1,2,29,29,87.5,103.5,525,10
1,1,1,13,47.8,54.55,525,9
1,4,24,13,55.25,55.75,525,10
1,2,29,13,55.5,56,525,10
1,2,29,13,55.55,56,525,10
1,1,1,1,56,110.05,529,10
1,2,10,1,73,73,529,10
1,3,3,1,90,150,529,9
2,5,5,1,90,129,529,10
3,6,14,1,106.3,118,529,9
4,7,15,2,48.11,48.11,529,10
1,3,26,19,115,143,525,10
1,4,11,19,135,158.55,525,9
1,1,1,13,44,54.3,528,11
1,2,25,13,54.75,55.45,528,10
1,2,25,13,55.05,55.5,528,10
1,2,29,13,55,55.8,528,12
1,2,29,13,55.3,55.8,528,9
2,5,5,15,32.51,75,528,9
1,2,10,19,135,156.3,527,13
3,6,13,7,16.01,17.57,529,9
2,5,5,19,115.01,154.4,527,9
3,6,14,21,17,65.2,527,10
1,3,26,22,40.5,45.5,525,11
4,9,9,22,32.55,49.09,525,10
4,9,16,22,35.19,60.59,525,10
4,9,32,22,33.09,61.86,525,10
4,9,9,30,16.95,28.65,525,10
4,8,20,18,22,24,527,10
1,2,29,1,105.05,154.55,627,10
1,2,29,1,110,150,527,9
1,1,1,15,55.05,66.35,528,10
1,1,1,17,37.75,65.25,528,10
1,3,26,17,54.85,59.45,528,9
4,7,15,22,21.89,61.01,527,10
4,9,9,22,31.58,43.58,527,9
4,9,16,22,29.65,61.36,527,8
2,5,5,22,40.01,49.2,527,10
3,6,13,22,42,53,527,13
1,2,10,29,70,94.15,527,11
2,5,5,29,77,96.25,527,10
1,1,1,15,53.8,65.4,525,9
1,1,1,17,42.05,64.55,525,10
4,9,9,30,19.58,30.19,527,13
4,9,16,30,18.15,23.29,527,10
4,8,18,6,25,50,527,9
1,1,22,12,25,31,528,10
1,1,1,19,99.95,160.3,528,10
1,2,25,19,147.6,154.05,528,9
1,2,10,19,108,158.05,528,10
1,3,26,19,134.5,158.25,528,10
1,4,11,19,133.05,159,528,10
1,4,12,1,48.5,120,624,10
1,2,29,19,138.75,168,528,10
1,2,29,19,152.55,153.75,528,9
